id,parent_cospar,name,event_date,kind,description,source_url
transit-4a-ablestar-1961,1961-015,Transit 4A Ablestar upper stage explosion,1961-06-29,EXPLOSION,"The first known on-orbit breakup: the Ablestar upper stage exploded hours after launch.",https://en.wikipedia.org/wiki/Transit_(satellite)
pegasus-haps-1996,1994-029,Pegasus HAPS upper stage explosion,1996-06-03,EXPLOSION,"The Pegasus HAPS stage from the STEP-2 launch exploded about two years after launch.",https://en.wikipedia.org/wiki/Pegasus_(rocket)
fengyun-1c-2007,1999-025,Fengyun-1C anti-satellite test,2007-01-11,ASAT,"China destroyed its Fengyun-1C weather satellite with a ground-launched missile at about 865 km, creating the largest debris cloud on record.",https://en.wikipedia.org/wiki/2007_Chinese_anti-satellite_missile_test
usa-193-2008,2006-057,USA-193 intercept (Operation Burnt Frost),2008-02-21,ASAT,"The US destroyed the failed USA-193 satellite at about 247 km; its debris re-entered within weeks.",https://en.wikipedia.org/wiki/Operation_Burnt_Frost
cosmos-2251-2009,1993-036,Iridium 33 / Cosmos 2251 collision (Cosmos 2251 fragments),2009-02-10,COLLISION,"The first accidental hypervelocity collision between two intact satellites, at about 789 km over Siberia.",https://en.wikipedia.org/wiki/2009_satellite_collision
iridium-33-2009,1997-051,Iridium 33 / Cosmos 2251 collision (Iridium 33 fragments),2009-02-10,COLLISION,"The first accidental hypervelocity collision between two intact satellites, at about 789 km over Siberia.",https://en.wikipedia.org/wiki/2009_satellite_collision
microsat-r-2019,2019-006,Mission Shakti anti-satellite test,2019-03-27,ASAT,"India destroyed its Microsat-R satellite at about 283 km; most fragments re-entered within a few years.",https://en.wikipedia.org/wiki/Mission_Shakti
kosmos-1408-2021,1982-092,Kosmos 1408 anti-satellite test,2021-11-15,ASAT,"Russia destroyed the defunct Kosmos 1408 satellite with a direct-ascent missile at about 480 km.",https://en.wikipedia.org/wiki/Kosmos_1408
long-march-6a-2022,2022-151,Long March 6A upper stage breakup,2022-11-12,EXPLOSION,"The upper stage from a Yunhai-3 launch broke up in orbit shortly after launch.",https://en.wikipedia.org/wiki/Long_March_6A
long-march-6a-2024,2024-140,Long March 6A upper stage breakup,2024-08-06,EXPLOSION,"The upper stage that launched the first Qianfan (Thousand Sails) satellites broke up in orbit.",https://en.wikipedia.org/wiki/Long_March_6A
